NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Supermercado Guará Presidente Kennedy: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.3;3.560 comentários;Av. Dr. Theberge, 2111 - Pres. Kennedy, Fortaleza - CE, 60355-000;Supermercado;20 min;Supermercado
Fazendinha Supermercado;4.6;752 comentários;R. Vicente Linhares, 1111 - Aldeota, Fortaleza - CE, 60135-270;Supermercado;15 min;Supermercado
Carnauba Supermercados Maestro Lisboa: Frutas, Bebidas, Carnes, Delivery em Fortaleza CE;4.2;1.269 comentários;Av. Maestro Lisboa, 2279 - Sabiaguaba, Fortaleza - CE, 60832-400;Supermercado;15 min;Supermercado
Hipermarket Supermercado Loja 01;4.1;580 comentários;R. Livreiro Gualter, 123 - Vila União, Fortaleza - CE, 60420-130;Supermercado;20 min;Supermercado
Pão de Açúcar;4.2;3.319 comentários;Av. Santos Dumont, 1169 - Aldeota, Fortaleza - CE, 60150-160;Supermercado;15-45 min;Supermercado
Maxxi Atacado;4.3;2.134 comentários;Av. Gen. Osório de Paiva, 2250 - Vila Peri, Fortaleza - CE, 60720-001;Hipermercado;15-45 min;Supermercado
Supermercado;4.6;172 comentários;Couto Fernandes, Fortaleza - CE, 60425-720;Supermercado;15 min;Supermercado
Pontes Supermercado;4.1;602 comentários;Av. Sabino Monte, 4260 - São João do Tauape, Fortaleza - CE, 60120-230;Supermercado;15 min;Supermercado
Super Edilson supermercado;4.2;252 comentários;Tv. Macau, 120 - Bonsucesso, Fortaleza - CE, 60545-430;Supermercado;15 min;Supermercado
Jardim Iracema;4.5;2 comentários;Fortaleza - Zone 1, Fortaleza - CE;Supermercado;;Supermercado
Diógenes Supermercado (Rede Integrada);4.4;338 comentários;R. Cap. Olavo, 1281 - Aerolândia, Fortaleza - CE, 60850-685;Supermercado;15 min;Supermercado
Cometa Supermercados - Ildefonso Albano;4.3;3.692 comentários;R. Ildefonso Albano, 2260 - Aldeota, Fortaleza - CE, 60115-001;Supermercado;20 min;Supermercado
Supermercado Pinheiro - Praia de Iracema;4.4;2.396 comentários;Av. Monsenhor Tabosa, 697 - Praia de Iracema, Fortaleza - CE, 60165-011;Supermercado;25 min;Supermercado
Ismael Supermercados | Jangurussu;4.3;1.362 comentários;Av A 825 Sítio São João, Av. Val Paraíso - Jangurussu, Fortaleza - CE, 60876-560;Supermercado;20 min;Supermercado
Minuto Pão de Açúcar;4.3;912 comentários;Av. Washington Soares, 1500 Lojas 3, 4, 05, Rua Leste Cinco - Edson Queiroz, Fortaleza - CE, 60811-341;Supermercado;15 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Supermercado O Carlos;3.8;225 comentários;1114, Rua Alcíndo Guanabara, 1012, Fortaleza - CE;Supermercado;15 min;Supermercado
Centerbox Supermercados | Loja Frei Cirilo;4.1;1.590 comentários;Av. Frei Cirilo, 4000 - Messejana, Fortaleza - CE, 60845-285;Supermercado;15-45 min;Supermercado
Cometa Supermercados - Tibúrcio Cavalcante;4.5;1.070 comentários;R. Tibúrcio Cavalcante, 1885 - Meireles, Fortaleza - CE, 60125-100;Supermercado;15-45 min;Supermercado
Supermercado Analí Granja Lisboa: Frutas, Carnes, Verduras, Cereais.;4.3;892 comentários;Rua Sargento João Pinheiro, 1740 - Granja Lisboa, Fortaleza - CE, 60540-513;Supermercado;20 min;Supermercado
Supermercado Guará Le Petit Iracema: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.4;528 comentários;Av. Almirante Barroso, 435 - Praia de Iracema, Fortaleza - CE, 60060-440;Supermercado;20 min;Supermercado
Supermercado Guará Jóquei Clube: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.5;536 comentários;Av. Senador Fernandes Távora, 84 - Jóquei Clube, Fortaleza - CE, 60510-114;Supermercado;15 min;Supermercado
SUPERMERCADO;;;Centro, Fortaleza - CE, 60050-040;;;Supermercado
