MUSICA,LINKS,TEXTO
Dorme Sofia,https://www.vagalume.com.br/djavan/dorme-sofia.html,"Dorme  Sofia Djavan Vaidade Na na na na na, na na na na na A  Sofia vai dormir A  Sofia vai nanar Na na na na na, na na na na na A  Sofia com esse olhão, como pode dormir Dorme  Sofia, dorme  Sofia, dorme  Sofia, dorme Dorme  Sofia, dorme  Sofia, dorme  Sofia, dorme Na na na na na, na na na na na A  Sofia vai dormir A  Sofia vai nanar Dorme  Sofia, dorme  Sofia, dorme  Sofia, dorme Dorme  Sofia, dorme  Sofia, dorme  Sofia, dorme Na na na na na"
Segredo,https://www.vagalume.com.br/djavan/segredo.html,"Segredo Djavan Meu  Lado Intro: ( Gm7  C9/7) Gm7  C9/7 Desses olhos Gm7  C9/7 Tenho medo Gm7  C9/7 Quer dizer tudo F7  Bb7 Tudo é segredo Gm7  C9/7 Vejo em sua cor Gm7  C9/7que tudo será triste Gm7  C9/7  Gm7  C9/7 Se um dia eu deixar de te ver Gm7  C9/7 O teu beijo Gm7  C9/7 Eu invento Gm7  C9/7 Na sala escura F7  Bb7 Do sentimento Gm7  C9/7 Quando bate a dor Gm7  C9/7 Eu sei que o amor existe Gm7  C9/7 E onde vive que eu chamo Gm7  C9/7  F7 E não vem Eb9/7+ Sofrer, cantar Gm7 Socorrer, fugir da paixãopra que? Eb9/7+ Mesmo onde há certeza de dores Gm7 Que flores dão Eb9/7+ Que nem de algodão Gm7 Vago em teu calor C9/7 Sou, sou tão leve F7 Se o amor é breve F#o Deixa nascer(  Gm7  C9/7 ) Pra ver..."
Muito Mais,https://www.vagalume.com.br/djavan/muito-mais.html,Muito  Mais Djavan Meu  Lado M U I T O  M A I S Djavan Quero saber Amor Se me quer em seu coração Eu prefiro morrer Acabou Só não quero levar um não Quero saber Amor Se me quer em seu coração Eu prefiro morrer Acabou Só não quero que a tristeza Afaste você de mim Nem desejo que o seu lindo olhar E o que lembrar você Me abandone Se o céu incandescer de uma vez Luz escorrer Tudo virar verão Me espere aqui Que eu vou ali Pegar  Halley pra ti Volto pra ver Você correr Pra me dizer Que sim É  Alagoas Quem dera nas suas águas Me banhar Muito mais Mas deixa isso Pra longe.
Asa,https://www.vagalume.com.br/djavan/asa.html,"Asa Djavan Djavan na  Pista,  Etc A manhã me socorreu com flores e aves Suaves, soltas, em asa azul Borboletas em bando Diz que pedra não fala Que dirá se falasse Eu: "" Ama?  Me ama, Me queima na sua cama"", O veludo da fala Disse: "" Beijo, que é doce Me prende, me iguala Me rende com sua bala"". Diz que pedra não fala Que dirá se falasse Eu: "" Ama?  Me ama Me queima na sua cama"". O veludo da fala Disse: "" Beijo, que é doce Me prende, me iguala Me rende com sua bala"" Se disfarce de  Zeus De  Juruna, na deusa  Azul Se me comover Eu já sei que és tu Claridade de um novo dia Não havia sem você Você passou e eu me esqueci O que ia dizer( Refrão) O que há pra falar? Onde leva essa ladeira? Que tristes terras vencerá Um intérprete tocando  Blues?"
Lei,https://www.vagalume.com.br/djavan/lei.html,"Lei Djavan Meu  Lado Vou lhe contar Nem dá pra crer Nada tem mais poder Que um desejo engolindo tudo Caminhando pro fundo E ali no final Crescer Quero correr Me libertar, defender Mas cadê o chão Que a paixão não vê Veio no ar E pá!  No breu Sem avisar desceu Num deserto e fez o futuro Desabrochar do escuro E à luz do dia Rompeu Veio trazer a ressurreição de um ser Que ao morrer de amor Vive como eu Vale acrescentar Que mesmo quem tudo sabe Em torno de lei Não pode mudar Amor é isso É sacrifício a valer Porém, Milagres como ele Nem  Deus fará jamais Meu amor, meu viver É ver o sol a seus pés E a terra uma pedra sem cor Se lapidando.."
So Bashiya Ba Hlala Ekhaya,https://www.vagalume.com.br/djavan/so-bashiya-ba-hlala-ekhaya.html,So  Bashiya  Ba  Hlala  Ekhaya Djavan So bashiya ba hlala ekhaya Saphuma sangena kwamanye amanzwe Lathokumgazi khona ubaba no mama Hlale inkululeko Se si thi hlala ehkaya Se si thi ngena kwamanye amanzwe Lathokumgazi khona ubaba no mama Hlale inkululeko So bashiya ba thobeni Saphuma sangena kwamanye amanzwe Lathokumgazi khona ubaba no mama Hlale inkululeko
Tem Boi Na Linha,https://www.vagalume.com.br/djavan/tem-boi-na-linha.html,"Tem  Boi  Na  Linha Djavan Alumbramento Café com pão no vera cruzjejum limão em japeria bolsa e a vida dançam nesse tremte cuida! Sacola, cabaço, futuro, tututem boi na linha, seu honório gurgellá vai barão pras filipetascomendador entrou no pauturiaçu sem gororobafez desse trem cabriolénegão quebrou a gabiroba Em  Recorocopicavalo de ferro, tchhhh... Cavalo de ferro, tchhhh... Cavalo de ferro, tchhhh... Udp-um, udp-dois, udp-três, udp-mil e udputisgrila udfêdapêcascudo, pedrada, cuspida, pisadavai pra anchieta, seu vigario geralengavetou, descarrilhoudescarrilhei, quebrei tambémai, santa cruz, não sou jesusnão sou jesus em santa cruzsomos zumbistodos os santosmeu vai-e-vemparece o vaivém do tremparece o vaivém do tremparece o vaivém do trem© 1980  Edições  Musicais  Tapajós  Ltda. ( E M I) U N I V E R S A L  Produções e  Edições  Musicais  Ltda. Composição:  Djavan /  Aldir  Blanc /  Paulo  Emilio"
Lambada De Serpente,https://www.vagalume.com.br/djavan/lambada-de-serpente.html,"Lambada de  Serpente Djavan Alumbramento Cuidar do pé de milho, Que demora na semente Meu pai disse meu filho, Noite fria, tempo quente Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor No chão da minha terra, Um lamento de corrente Um grão de pé de guerra, Pra colher dente por dente. Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor. Cuidar do pé de milho, Que demora na semente Meu pai disse meu filho, Noite fria, tempo quente Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor No chão da minha terra, Um lamento de corrente Um grão de pé de guerra, Pra colher dente por dente."
Dor E Prata,https://www.vagalume.com.br/djavan/dor-e-prata.html,"Dor  E  Prata Djavan Alumbramento Pão é ouroprata é leidor é nylon bisamor é vidroeu e  Deuscrescer é como trairde repente amanhecerjá na hora de partir pra vidaviver é mais que cresceré querer achar o fim Do saber, da lei, da vida Do nada De tudo, de sipão é ouroprata é leidor é nailon bisamor é vidroeu e deuscrescer é como trairde repente amanhecerjá na hora de partir pra vidaviver é mais que cresceré querer achar o fim Do saber, da lei, da vida Do nada De tudo, de si© 1979  Edições  Musicais  Tapajós  Ltda. ( E M I)"
Meu Bem Querer,https://www.vagalume.com.br/djavan/meu-bem-querer.html,"Meu  Bem  Querer Djavan Alumbramento Meu bem-querer É segredo, é sagrado Está sacramentado Em meu coração Meu bem-querer Tem um ""quê"" de pecado Acariciado pela emoção Meu bem-querer, meu encanto Tô sofrendo tanto Amor E o que é o sofrer Para mim que estou Jurado pra morrer de amor?© 1980  Ed.  Musicais  Tapajós"
Aquele Um,https://www.vagalume.com.br/djavan/aquele-um.html,"Aquele  Um Djavan Alumbramento Baixou Num centro de mesa de um bar Um santo estranho Cheirou, fumou, não cuspiu, Sei lá..... E tocou piano Falou que ""era aquele um"" Das quebradas O santo de cama Das mal amadas Alguém do centro perguntou o seu ponto Aí o santo lhe respondeu: Meu ponto é qualquer um Com bicheiro e taxi Zarakiê,  Zaraquiê,  Zoroquiê Zaraquiê,  Zoroquiê Zô© copyright 1980  Tapajós/ E M I Composição:  Djavan,  Aldir  Blanc"
Alumbramento,https://www.vagalume.com.br/djavan/alumbramento.html,"Alumbramento Djavan Alumbramento Intro:  D6/9  C6/9  Bb6/9  C6/9 D6/9  C#7/9+  Em7/9  G/ A Deve ser bem morna D6/9  C#7/9+  G7+  A/ G Deve ser maternal Bb7+  D#7/9 Sentar num colchão Em7/9  A5+/7  Cm7/9  F7  Em5-/7 E sorrir e zangar A5+/7  Dm7/9  Bb7/9/11+ Tapear tua mão D#7+  G/ A Isso sim, isso não D6/9  C#7/9+  Em7/9  G/ A Deve ser bem louca D6/9  C#7/9+  G7+  A/ G Deve ser animal Bb7+  D#7/9 Hálito de gim Em7/9  A5+/7  Cm7/9  F7  Em5-/7 Vai fingir, vai gemer A5+/7  Dm7/9  Bb7/9/11+ E dizer ai de mim Gm7  C7/9  F7+  Ab° E de repente deve ter Gm7  C7/9  F7+  Am7  Abm7 Um engenho, um poder Gm7  C7/9  F7+  C#° Que é pro menino fraquejar Dm  Dm/ C  Bm7/9  Bbm6 Alucinar, derreter D6/9  C#7/9+  Em7/9 Deve estar com pressa G/ A  D6/9  C#7/9+  G7+  A/ G E partir e deixar Bb7+  D#7/9  Em7/9  A5+/7  Cm7/9  F7 Cica de cajú no olhar do guri Em5-/7  A5+/7 ( Dm7/9  Bb7/9/11+  Em5-/7  A5+/7) Por aí deve ser"
Sururu De Capote,https://www.vagalume.com.br/djavan/sururu-de-capote.html,"Sururu de  Capote Djavan Alumbramento Eh sarará é sucuri Eh sarará de prajatieis o siri-de-coralsururu na casca é capoteno nordeste tem  Santo  Antônio,  São  Beneditotem matrimônio de corpo invictoquatro pimentas um prato feitouma tapa na venta pra quem não comer direitoeh rapariga não se torturador de barriga, cidreira curaé na casinha que se fazaquela mocinha tá ficando um rapazem são paulo é bom, mas como lá eu não digovou pegar ônibus vou rever meus "" umbigo""em são paulo é bom, mas como lá eu não digovou pegar ônibus vou rever meus "" umbigo""© 1980  Edições  Musicais  Tapajós  Ltda. ( E M I)"
Serrado,https://www.vagalume.com.br/djavan/serrado.html,"Serrado Djavan Se o  Senhor me for louvado Eu vou voltar pro meu serrado Por ali ficou quem temperou O meu amor e semeou em mim Essa incrível saudade Se é por vontade de  Deus Valei, valei Se pedir a  Deus pelo meu prazer Não for pecado, vou rezar Pra quando eu voltar a rever Todas as brincadeiras do passado Cortejar meu serrado Em dia, feriado Viva o cordão azul e encarnado Eu sei, serei feliz de novo Meu povo, deixa eu chorar com você Serei feliz de novo Meu povo, deixa eu chorar com você Serei feliz de novo Meu povo, deixa eu chorar"
Meu Bem Querer,https://www.vagalume.com.br/djavan/meu-bem-querer.html,"Meu  Bem  Querer Djavan Alumbramento Meu bem-querer É segredo, é sagrado Está sacramentado Em meu coração Meu bem-querer Tem um ""quê"" de pecado Acariciado pela emoção Meu bem-querer, meu encanto Tô sofrendo tanto Amor E o que é o sofrer Para mim que estou Jurado pra morrer de amor?© 1980  Ed.  Musicais  Tapajós"
Seduzir,https://www.vagalume.com.br/djavan/seduzir.html,"Seduzir Djavan Para  Sempre:  Djavan Cantar é mover o dom do fundo de uma paixão Seduzir As pedras, catedrais, coração Amar é perder o tom nas comas da ilusão Revelar todo sentido Vou andar, vou voar pra ver o mundo Nem que eu bebesse o mar encheria o que eu tenho de fundo Vou andar, vou voar pra ver o mundo Nem que eu bebesse o mar encheria o que eu tenho de fundo Vou andar, vou voar pra ver o mundo Nem que eu bebesse o mar encheria o que eu tenho de fundo"
Lambada de Serpente,https://www.vagalume.com.br/djavan/lambada-de-serpente.html,"Lambada de  Serpente Djavan Alumbramento Cuidar do pé de milho, Que demora na semente Meu pai disse meu filho, Noite fria, tempo quente Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor No chão da minha terra, Um lamento de corrente Um grão de pé de guerra, Pra colher dente por dente. Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor. Cuidar do pé de milho, Que demora na semente Meu pai disse meu filho, Noite fria, tempo quente Lambada de serpente A traição me enfeitiçou Quem tem amor ausente Já viveu a minha dor No chão da minha terra, Um lamento de corrente Um grão de pé de guerra, Pra colher dente por dente."
Tem Boi Na Linha,https://www.vagalume.com.br/djavan/tem-boi-na-linha.html,"Tem  Boi  Na  Linha Djavan Alumbramento Café com pão no vera cruzjejum limão em japeria bolsa e a vida dançam nesse tremte cuida! Sacola, cabaço, futuro, tututem boi na linha, seu honório gurgellá vai barão pras filipetascomendador entrou no pauturiaçu sem gororobafez desse trem cabriolénegão quebrou a gabiroba Em  Recorocopicavalo de ferro, tchhhh... Cavalo de ferro, tchhhh... Cavalo de ferro, tchhhh... Udp-um, udp-dois, udp-três, udp-mil e udputisgrila udfêdapêcascudo, pedrada, cuspida, pisadavai pra anchieta, seu vigario geralengavetou, descarrilhoudescarrilhei, quebrei tambémai, santa cruz, não sou jesusnão sou jesus em santa cruzsomos zumbistodos os santosmeu vai-e-vemparece o vaivém do tremparece o vaivém do tremparece o vaivém do trem© 1980  Edições  Musicais  Tapajós  Ltda. ( E M I) U N I V E R S A L  Produções e  Edições  Musicais  Ltda. Composição:  Djavan /  Aldir  Blanc /  Paulo  Emilio"
Aquele Um,https://www.vagalume.com.br/djavan/aquele-um.html,"Aquele  Um Djavan Alumbramento Baixou Num centro de mesa de um bar Um santo estranho Cheirou, fumou, não cuspiu, Sei lá..... E tocou piano Falou que ""era aquele um"" Das quebradas O santo de cama Das mal amadas Alguém do centro perguntou o seu ponto Aí o santo lhe respondeu: Meu ponto é qualquer um Com bicheiro e taxi Zarakiê,  Zaraquiê,  Zoroquiê Zaraquiê,  Zoroquiê Zô© copyright 1980  Tapajós/ E M I Composição:  Djavan,  Aldir  Blanc"
Morena De Endoidecer,https://www.vagalume.com.br/djavan/morena-de-endoidecer.html,"Morena de  Endoidecer Djavan Para  Sempre:  Djavan Saí na porta de casaolhei pro céu e pensei:parece que vai choverparece que vai choverparece que vai chovero amor que trago no peitoé carga pra mais de dezmorena de endoidecermorena de endoidecermorena de endoidecermorena de endoidecervai pensamento, vaiviajar de navio pra verque fim levou minha vidaquando você foi emborao céu deu de escurecerserá que eu fiquei chorando, ô ôparece que vai choverserá que fiquei chorando, ô ôparece que vai choverserá que eu fiquei chorando, ô ôparece que vai chover© 1981  Edições  Musicais  Tapajós  Ltda. ( E M I) Musiclave  Editora  Musical  Ltda. Composição:  Djavan /  Cacaso"
Sururu De Capote,https://www.vagalume.com.br/djavan/sururu-de-capote.html,"Sururu de  Capote Djavan Alumbramento Eh sarará é sucuri Eh sarará de prajatieis o siri-de-coralsururu na casca é capoteno nordeste tem  Santo  Antônio,  São  Beneditotem matrimônio de corpo invictoquatro pimentas um prato feitouma tapa na venta pra quem não comer direitoeh rapariga não se torturador de barriga, cidreira curaé na casinha que se fazaquela mocinha tá ficando um rapazem são paulo é bom, mas como lá eu não digovou pegar ônibus vou rever meus "" umbigo""em são paulo é bom, mas como lá eu não digovou pegar ônibus vou rever meus "" umbigo""© 1980  Edições  Musicais  Tapajós  Ltda. ( E M I)"
A Ilha,https://www.vagalume.com.br/djavan/a-ilha.html,A  Ilha Djavan Para  Sempre:  Djavan U M  F A C H O  D E  L U Z E5+  Am9  Am  Dm7  E7/9- Q U E  A  T U D O  S E D U Z  P O R  A Q U I Am9  F7+  Bm7/5-  E5+  E7 E S T R E L A  C A D E N T E  R E L U Z E N T E M E N T E Em7/5-  A7/13  A7 S E M  F I M Dm7/9 E  U M  C H E I R O  D E  A M O R G7  C#7/9  C7+  F7+ E M P E S T A D O  N O  A R  A  M E  E N T O R P E C E R Bm7/5-  E5+  Am6  E5+ Q U I S E R A  V I E S S E  D O  M A R  E  N Ã O  D E  V O C Ê Am9  Dm7/9 U M  R A I O  Q U E  I N U N D A  D E  B R I L H O E7  Am9  E5+ U M A  N O I T E  P E R D I D A Am9  Dm7/9 U M  E S T A D O  D E  C O I S A S  T Ã O  P U R A S F/ G  Em7/5-  A7/5+ Q U E  M O V E M  U M A  V I D A Dm7/  G7 E  U M  V E R D E  P R O F U N D O  N O  O L H A R C#7/9  C7+  F7+  Bm7/5- A  M E  E N D O I D E C E R Eb7/9  E5+  Am6 Q U I S E R A  E S T I V E S S E  N O  M A R  E  N Ã O  E M  V O C Ê Dm7/9  G7  C7+/9  Eb° P O R Q U E  S E U  C O R A Ç Ã O  É  U M A  I L H A Dm7/9  E5+  Am9  A7/5+ A  C E N T E N A S  D E  M I L H A S  D A Q U I
Alumbramento,https://www.vagalume.com.br/djavan/alumbramento.html,"Alumbramento Djavan Alumbramento Intro:  D6/9  C6/9  Bb6/9  C6/9 D6/9  C#7/9+  Em7/9  G/ A Deve ser bem morna D6/9  C#7/9+  G7+  A/ G Deve ser maternal Bb7+  D#7/9 Sentar num colchão Em7/9  A5+/7  Cm7/9  F7  Em5-/7 E sorrir e zangar A5+/7  Dm7/9  Bb7/9/11+ Tapear tua mão D#7+  G/ A Isso sim, isso não D6/9  C#7/9+  Em7/9  G/ A Deve ser bem louca D6/9  C#7/9+  G7+  A/ G Deve ser animal Bb7+  D#7/9 Hálito de gim Em7/9  A5+/7  Cm7/9  F7  Em5-/7 Vai fingir, vai gemer A5+/7  Dm7/9  Bb7/9/11+ E dizer ai de mim Gm7  C7/9  F7+  Ab° E de repente deve ter Gm7  C7/9  F7+  Am7  Abm7 Um engenho, um poder Gm7  C7/9  F7+  C#° Que é pro menino fraquejar Dm  Dm/ C  Bm7/9  Bbm6 Alucinar, derreter D6/9  C#7/9+  Em7/9 Deve estar com pressa G/ A  D6/9  C#7/9+  G7+  A/ G E partir e deixar Bb7+  D#7/9  Em7/9  A5+/7  Cm7/9  F7 Cica de cajú no olhar do guri Em5-/7  A5+/7 ( Dm7/9  Bb7/9/11+  Em5-/7  A5+/7) Por aí deve ser"
Correnteza,https://www.vagalume.com.br/djavan/correnteza.html,"Correnteza Djavan Djavan -  Novelas A correnteza do rio Vai levando aquela flor O meu bem já está dormindo Zombando do meu amor Na barranceira do rio O ingá se debruçou E a fruta que era madura A correnteza levou A correnteza levou A correnteza levou... E choveu uma semana E eu não vi o meu amor O barro ficou marcado Aonde a boiada passou Depois da chuva passada Céu azul se apresentou Lá à beira da estrada Vem vindo o meu amor Vem vindo,  Vem vindo,  Vem vindo A correnteza do rio Vai levando aquela flor E eu adormeci sorrindo Sonhando com o nosso amor Sonhando com o nosso amor Sonhando... Ô  Dandá,  Ô  Dandá Composição:  Antonio  Carlos  Jobim e  Luiz  Bonfá"
Linha Do Equador,https://www.vagalume.com.br/djavan/linha-do-equador.html,"Linha do  Equador Djavan Djavan -  Novelas Luz das estrelaslaço do infinitogosto tanto dela assimrosa amarelavoz de todo gritogosto tanto dela assimesse imenso, desmedido amorvai além de seja o que forvai além de onde eu voudo que sou, minha dorminha linha do equadoresse imenso, desmedido amorvai além de seja o que forpassa mais além docéu de brasíliatraço do arquitetogosto tanto dela assimgosto de filha música de pretogosto tanto dela assimessa desmesura de paixãoé loucura do coraçãominha foz do iguaçupolo sul, meu azulluz do sentimento nuesse imenso, desmedido amorvai além de seja o que forvai além de onde eu voudo que sou, minha dor,minha linha do equadormas é doce morrer nesse marde lembrar e nunca esquecerse eu tivesse mais alma pra dareu daria, isso para mim é viver Composição:  Caetano  Veloso /  Djavan"
Nem Um Dia,https://www.vagalume.com.br/djavan/nem-um-dia.html,"Nem  Um  Dia Djavan Djavan -  Novelas Um dia frio Um bom lugar pra ler um livro E o pensamento lá em você, Eu sem você não vivo Um dia triste Toda fragilidade incide E o pensamento lá em você, E tudo me divide Longe da felicidade E todas as suas luzes Te desejo como ao ar Mais que tudo, És manhã na natureza das flores Mesmo por toda riqueza Dos sheiks árabes Não te esquecerei um dia, Nem um dia Espero com a força do pensamento Recriar a luz que me trará você. E tudo nascerá mais belo, O verde faz do azul com o amarelo O elo com todas as cores Pra enfeitar amores gris.© 1996  Luanda  Edições  Musicais  Ltda."
Alegre Menina,https://www.vagalume.com.br/djavan/alegre-menina.html,"Alegre menina Djavan Djavan -  Novelas O que fizeste sultão de minha alegre menina? Palácio real lhe dei, um trono de pedraria Sapato bordado a ouro, esmeraldas e rubis Ametista para os dedos, vestidos de diamantes Escravas para serví-la, um lugar no meu dossel E a chamei de rainha, e a chamei de rainha O que fizeste sultão de minha alegre menina? Só desejava campina, colher as flores do mato Só desejava um espelho de vidro prá se mirar Só desejava do sol calor para bem viver Só desejava o luar de prata prá repousar Só desejava o amor dos homens prá bem amar Só desejava o amor dos homens prá bem amar No baile real levei-a, tua, alegre menina Vestida de realeza, com princesas conversou Com doutores praticou, dançou a dança faceira Bebeu o vinho mais caro, mordeu fruta estrangeira Entrou nos braços do rei, rainha mas verdadeira Entrou nos braços do rei, rainha mas verdadeira Composição:  Dorival  Caymmi"
Oceano,https://www.vagalume.com.br/djavan/oceano.html,Oceano Djavan Djavan -  Novelas Assim Que o dia amanheceu Lá no mar alto da paixão Dava pra ver o tempo ruir Cadê você?  Que solidão! Esquecera de mim Enfim De tudo que há na terra Não há nada em lugar nenhum Que vá crescer sem voce chegar Longe de ti tudo parou Ninguém sabe o que eu sofri Amar é um deserto E seus temores Vida que vai na sela Dessas dores Não sabe voltar Me dá teu calor Vem me fazer feliz Porque eu te amo Você deságua em mim E eu oceano Esqueço que amar É quase uma dor Só sei Viver Se for Por você© 1989  Luanda  Edições  Musicais  Ltda.
Outono,https://www.vagalume.com.br/djavan/outono.html,"Outono Djavan Djavan -  Novelas Um olhar uma luzou um par de pérolasmesmo sendo azuissou teu e te devopor essa riquezauma boca que eu seinão porque me fala lindoe sim, beija bemtudo é viávelpra quem faz com prazersedução, frenesisinto você assimsensual, árvoreespécie escolhidapra ser a mão do ouroo outono traduzirviver o esplendor em situa pele um bourbonme aquece como eu querosweet homegostar é atualalém de sertão bom.© 1992  Luanda  Edições  Musicais  Ltda."
Meu Bem Querer,https://www.vagalume.com.br/djavan/meu-bem-querer.html,"Meu  Bem  Querer Djavan Alumbramento Meu bem-querer É segredo, é sagrado Está sacramentado Em meu coração Meu bem-querer Tem um ""quê"" de pecado Acariciado pela emoção Meu bem-querer, meu encanto Tô sofrendo tanto Amor E o que é o sofrer Para mim que estou Jurado pra morrer de amor?© 1980  Ed.  Musicais  Tapajós"
Mal De Mim,https://www.vagalume.com.br/djavan/mal-de-mim.html,"Mal de  Mim Djavan Djavan -  Novelas Eu pensei, que fosse coisa para um dia só Ficar de mal de mim Reagi, sou seu amigo e digo como vai Você fica séria E nem sinal, brigou comigo e a solidão Servirá de lugar pra nós dois Se é amor, que tal agir e não radicalizar Sejamos mais lisos Pega esse meu ombro Rega, se adormecer eu sei que o sono passou a perna Nessa distância férrea, que marcou Meu amor dormir contigo é escutar  Gal e  Tom O que rolar é bom Passear, rever amigos, conduzir boas novas Visitar a  Grécia no futuro Composição:  D J A V A N"
Cigano,https://www.vagalume.com.br/djavan/cigano.html,"Cigano Djavan Djavan -  Novelas Te querer Viver mais pra ser exato Te seguir E poder chegar Onde tudo é só meu Te encontrar Dar a cara pro teu beijo Correr atrás de ti feito cigano Cigano, cigano Me jogar sem medir Viajar Entre pernas e delícias Conhecer Pra notícias dar Devassar sua vida Resistir Ao que pode o pensamento Saber chegar no seu melhor momento Momento, momento Pra ficar e ficar Juntos, dentro, horas Tudo ali às claras Deixar crescer Até romper A manhã Como o mar está sereno Olha lá As gaivotas já Vão deixar suas ilhas Veja o  Sol É demais esta cidade! A gente vai Ter um dia de calor..."
Rei Do Mar,https://www.vagalume.com.br/djavan/rei-do-mar.html,"Rei do  Mar Djavan Djavan -  Novelas Vou me perder No azul verde do mar Junto da manhã Em busca da vida Vou remover Lendas, tormentas, paixão Livre a navegar Em busca da vida Que me importa A brisa fria O brilho dos faróis Que me importa O fundo, a calmaria e o temporal Eu sou o rei Eu sou o rei Eu sou o reido mar Da minha cidade natal© 1975  B M G  Music  Publishing  Brasil"
Farinha,https://www.vagalume.com.br/djavan/farinha.html,"Farinha Djavan Milagreiro A farinha é feita de uma planta da família daseuforbiáceas, euforbiáceasde nome manihot utilíssima que um tio meu apelidou de macaxeirae foi aí que todo mundo achou melhor!... A farinha tá no sangue do nordestinoeu já sei desde menino o que ela pode dare tem da grossa, tem da fina se não tem da quebradinhavou na vizinha pegar pra fazer pirão ou mingaufarinha com feijão é animal! O cabra que não tem eira nem beiralá no fundo do quintal tem um pé de macaxeiraa macaxeira é popular é macaxeira pr`ali, macaxeira pra cáe em tudo que é farinhada a macaxeira távocê não sabe o que é farinha boafarinha é a que a mãe me manda lá de  Alagoas..."
Om,https://www.vagalume.com.br/djavan/om.html,"Om Djavan Milagreiro Eu já nem sei quem sou tão dedicado a ti um cobertor pro frioqueria ser teu ""om"" viver grudado, sim sempre ali, sempre alinão sou nada indelével sou instável como a cidademas carrego pau e pedra só para ver-te mais à vontadesem o mar a cobrir-te de sombras ou coreslivre pra amores desses que vêm e vãosob o bronze da noite onde o mais são estrelastodas ali para vê-la como fazer com os homensah! você que nasceu com o leito pro rioque desafio querer-te acompanhar!...© 1992  Luanda  Edições  Musicais  Ltda."
Meu,https://www.vagalume.com.br/djavan/meu.html,"Meu Djavan Milagreiro Você sabe fazer Tudo o que faz Nada existe em você Que eu não goste demais Quando você me diz Me apaixonei por você, meu Faz a cara feliz De quem sabe o que é seu Eu nunca vi nada assim ô loco E como faz o amor Pra se proteger Dá um zignal na dor É vetado sofrer Discordar, discutir Nada é mais saudável, não, não, não Um olhar neném de ser Logo fecha a questão Eu nunca vi nada assim ô loco Ar, só com você Mar, com você qualquer fundura dá Tudo é tão meu Quando você vem se chegando Chegando de um modo só seu"
Ladeirinha,https://www.vagalume.com.br/djavan/ladeirinha.html,"Ladeirinha Djavan Milagreiro Quase à noitinha ela descea ladeirinha que faz ladocom o meu quintalos seus passos ágeis, livrestrazem o amor idealfeito de laço, posse, viçovertical na dore um sol todo tempo a brilharpelos rios, matas virgensdesse seu corpoque eu desejo amaro dia é vagoquando eu não a flagro a sorrirpara mimposso ver imagens no nadaduendes no edredone é só dormir para ouvir em qualquer lugarsirenes no arressaltando vocêo dia nasce e você,já envolta num véu,traz a luzflores se esgarçam num bailadoem busca de atençãomais nada existeenquanto a vejo passaro que é seu andar?que venturaesse chão!...tudo mais é puro alvoroçoque a imagem de um colossoprovoca dia a dia..."
Infinitude,https://www.vagalume.com.br/djavan/infinitude.html,"Infinitude Djavan Milagreiro Eu vou cantar pra vocêdo que é feito o novo amor:de um outro amar, que é cederpela unidade de todos nósreinventar, reviver,ressignificar o amor,que esse que estájá não dá, caducouessa já não é mais a épocade se ligar na própria dor!e guerrear, sempre em nome do amorpois o que ele queré crescer o mais que deraté a infinitudedo olhar, do ouvir,nas mãos em algum jardim,da gente da terra enfimcrescer,buscar, até chegar a  Deuspra amar essa terra e os seus© 1992  Luanda  Edições  Musicais  Ltda. Mubairi ( Luanda) Composição:  Música:  Djavan /  Letra:  Flávia  Virgínia"
Milagreiro,https://www.vagalume.com.br/djavan/milagreiro.html,"Milagreiro (part.  Cássia  Eller) Djavan Milagreiro Agora vamos ter os girassóisdo fim do anoe o calor vem desumanotudo irá se expandircrescer com as águasquiçá, amores nos coraçõese um santeiro,milagreiroprevê a dorde terceirose diz que a vidaé feita de ilusãoe um santeiro,milagreiroprevê a dorde terceirose diz que a vidaé feita de ilusãoaquela que um dia o fez sonharse foi com o outrono dia em que os doisse casariam por amorele aluouhoje o seu pesarcintila nos varaisusou as sete vidase não foi feliz jamaistoda a imensidãopassou pela vidae foi cair na solidãomais um santo para esculpir é o que lhe valepra evitar que o rancor suas ervas espalhe"
Brilho da Noite,https://www.vagalume.com.br/djavan/brilho-da-noite.html,"Brilho da  Noite Djavan Milagreiro Que será que existe Além desse olhar, Quanto há de segredo? E entre  Mozart e  Lisztpor quem optará,encara as alturas ou a placidez? E em caso de amorvirá tateando,ou irá por onde eu for?matinal ou vampira,afeita ao pecado?seja agulhada ou zen,sou mais você e mais ninguémpra me tirar desse caosonde estou estou,doido pra amar,louco de amor! Quando quero ficar felizcomeço a pensarem você me lambendo,me vejo atuarem seu filme,e bem-enquadrado,posso conferirsua perfeição:que mal pro meu coração...brilho da noitecausa perdidameu horizontetudo na vida"
