MUSICA,LINKS,TEXTO
Pecado,https://www.vagalume.com.br/djavan/pecado.html,"Pecado Djavan Rua dos  Amores Quero ficar pensando Quase me abandonando Com pouco, a me ligar Há sinais de vida em construcao Nenhuma nuvem nada Tempo de água parada Alma quer navegar Mas ela 'tá que fala, fala, fala... Pecado, pecado, pecado Quer mudar tudo, tudo... Pecado E passarinho que canta Flora de encantos mil Sonhos e catedrais Para longa espera dos cordeiros Mesmo que o amor avance Perde-se em nuance Quase um  Chile inteiro Quando voce fala, fala, fala... Pecado, pecado, pecado, pecado Quer viver de amor?  Vá! Mas pode parar com esse pantim, Ouça mais para variar E saber mais de mim Pecado, pecado, pecado, pecado Voce está sempre a mais, Nao tem mais medida. E a bem dizer: Insatisfaz No entanto, mulher mais querida Esta para nascer E passarinho que canta Flora de encantos mil Sonhos e catedrais Para longa espera dos cordeiros Mesmo que o amor avance Perde-se em nuance Quase um  Chile inteiro Quando você fala, fala, fala... Pecado, pecado, pecado, pecado Quer viver de amor?  Vá Mas pode parar com esse pantim, Ouça mais para variar E saber mais de mim Pecado, pecado, pecado, pecado"
Ares Sutis,https://www.vagalume.com.br/djavan/ares-sutis.html,"Ares  Sutis Djavan Rua dos  Amores Quanto mais eu sei Menos eu sei quem sou. Será que eu vivi Tudo porque passei... E quem será que eu sou? Mesmo podendo imaginar O que eu quiser, Eu não sei se sou tanto! Quanto mais eu sou Menos sou o que sei. E pra o que nasci, Será que cumprirei? O que será que eu sei Num corpo a mendigar, Qual é a lei No desvão do amar? Me consumi Pra ter um pouco de ti, Clamei por atenção! Jamais usei Sapatos tão peculiares, Andei vestida por colares mis, Violentei até meus ares sutis!... E o que não tem fim Começa outra vez: Quanto mais eu sou Acho que mais eu sei O que vai ser, enfim - Sedada de afeição - Eu vou viver Pra esquecer de mim. Quanto mais eu sou Menos sou o que sei. E pra o que nasci, Será que cumprirei? O que será que eu sei Num corpo a mendigar, Qual é a lei No desvão do amar? Me consumi Pra ter um pouco de ti, Clamei por atenção! Jamais usei Sapatos tão peculiares, Andei vestida por colares mis, Violentei até meus ares sutis!..."
Quinze Anos,https://www.vagalume.com.br/djavan/quinze-anos.html,"Quinze  Anos Djavan Rua dos  Amores Quinze anos: Só pra quem faz De tudo um plano Para defender as divisas Do próprio reino. Quinze eras: Base de cada primavera De duas vidas enredadas De bem querer! Quis esse mar Dos seus olhos descer Pra me arrastar Pelos cantos Admirado em seus encantos Com a alma frondosa de vida, Perdidamente! Oh! flor de cristal que brotou Em meio ao lírio Pra vida inteira Seguir sua voz, Acolher-me aos pés E adorar quem sou... Bendizer aos céus Por querido ser E viver de amor! O que estabeleceu Você e eu Não se dilui, Mas eu posso dizer: Eu e você, Rio que flui!"
Vive,https://www.vagalume.com.br/djavan/vive.html,"Vive Djavan Rua dos  Amores É inútil chorar Noites enveredar Ruir por nada assim... Minha vida é sua Como marinheiro do mar Sofrer, não há porquê! Desencana meu amor, Tudo seu é muita dor, V I V E! Deixa o tempo resolver, O que tem que acontecer, L I V R E! Tanto o que eu sonhei Nos amar à pleno vapor Tanto o que eu quis Fazê-la estrela Da sagração De um ser feliz Desinflama meu amor, Do seu jeito é muita dor, V I V E! Deixa o tempo resolver, Se tiver que acontecer, V I V E! Desencana meu amor, Tudo seu é muita dor, V I V E! Deixa o tempo resolver, O que tem que acontecer, L I V R E! Tanto o que eu sonhei Nos amar à pleno vapor Tanto o que eu quis Fazê-la estrela Da sagração De um ser feliz Desinflama meu amor, Do seu jeito é muita dor, V I V E! Deixa o tempo resolver, Se tiver que acontecer, V I V E! Desencana meu amor, Tudo seu é muita dor, V I V E! Deixa o tempo resolver, O que tem que acontecer, L I V R E!"
Pode Esquecer,https://www.vagalume.com.br/djavan/pode-esquecer.html,"Pode  Esquecer Djavan Rua dos  Amores Em algum lugar, Onde se pode Esperar pelo melhor, Onde cada ser Se viu crescer Cheio de planos Pra servir, Vida só há de ter Quem a dividir! Ser alguém Por fazer mais! Não se pode ir além Nas costas de ninguém, Por amor, como for, vai. Na nova ordem geral De um novo comando, Abstinência moral É crime hediondo! Aquela onda de caos Que sai varrendo o mar Dos que têm poder, Pode esquecer! Só procedimentos normais, O mais é injúria. E tudo se liquefaz, Num mar de candura. Se alguém tiver que arbitrar Só vai poder contar Com o delírio de um cantor: O que se passou, passou Prescreveu!... O amanhã ficou pra bem distante, O hoje com a mesma cara de ontem E a vida segue em frente, ardilosamente a mil."
Reverberou,https://www.vagalume.com.br/djavan/reverberou.html,"Reverberou Djavan Rua dos  Amores Com medo eu chamei pra dançar, Não sei nem se você me ouviu Meu coração pra pular, Cê em vez de falar, sorriu... Tomei aquilo como um sim Meu corpo até reverberou! Vejo você levantar, Penso:  Vou abraçar  O  A M O R. Não sei se é assim Que o amor nasce, Mas sei que perambular Por beijos sem desejo Não é luz – é o breu E por ser ela a luz que me renasce, No instante em que eu a enlaçar, Socorro!  Posso pirar Com o calor do corpo dela. Meu  Deus! Com medo eu chamei pra dançar, Não sei nem se você me ouviu Meu coração pra pular, Cê em vez de falar, sorriu... Tomei aquilo como um sim Meu corpo até reverberou! Vejo você levantar, Penso:  Vou abraçar  O  A M O R. Não sei se é assim Que o amor nasce, Mas sei que perambular Por beijos sem desejo Não é luz – é o breu E por ser ela a luz que me renasce, No instante em que eu a enlaçar, Socorro!  Posso pirar Com o calor do corpo dela. Meu  Deus! Não sei se é assim Que o amor nasce, Mas sei que perambular Por beijos sem desejo Não é luz – é o breu E por ser ela a luz que me renasce, No instante em que eu a enlaçar, Socorro!  Posso pirar Com o calor do corpo dela. Meu  Deus!"
Quase Perdida,https://www.vagalume.com.br/djavan/quase-perdida.html,"Quase  Perdida Djavan Rua dos  Amores Não pude crer: Cê me ligou, Quando eu já estava conformado! Não vou mais entender você Não quero mais lhe censurar. Se for pra ter Sem pagar a mais, Deixa estar: Isso já dá. Seja em madri ou no algarve Pra onde for, Estarei do lado, Viverei declamando: Discórdia, nunca mais Agora é só Amor e paz. Ninguém duvida Que será tão bom Do seu batom, sobreviver E cair nos seus braços Todo dia Como os cristais No amanhecer. Quase perdida, Numa noite em flor, Você, de amor, Me mataria Sendo assim, Não será demais Se eu disser que a amarei Por todas as vidas Não puder crer Cê me ligou, Quando eu já estava conformado! Não vou mais entender você Não quero mais lhe censurar. Se for pra ter Sem pagar a mais, Deixa estar: Isso já dá. Seja em madri ou murici Pra onde for, Estarei do lado, Viverei declamando: Discórdia, nunca mais Agora é só Amor e paz."
Rua Dos Amores,https://www.vagalume.com.br/djavan/rua-dos-amores.html,"Rua  Dos  Amores Djavan Rua dos  Amores Vê! O horizonte despe a lua, A rua se amontoa pra ver E a nua nem tá aí Pra o que faz... Ver! Você assim, descendo a rua... A lua logo passa a saber Quem é tudo, Quando encontra...  V O C Ê!"
Sabes Mentir,https://www.vagalume.com.br/djavan/sabes-mentir.html,Sabes  Mentir Djavan Ária Sabes mentir Hoje eu sei que tu sabes sentir Um falso amor Abrigaste em meu coração Sempre a iludir Tu falavas com tanto ardor Dessa paixão Que dizias sentir Mas tudo agora acabou Para mim terminou a ilusão Hoje esse amor já findou E afinal para que amar Sempre a iludir Tu beijavas com afeição Sempre a fingir Uma falsa emoção Sabes mentir Hoje eu sei que tu sabes sentir Um falso amor Abrigaste em meu coração Sempre a iludir Tu falavas com tanto ardor Dessa paixão Que dizias sentir Mas tudo agora acabou Para mim terminou a ilusão Hoje esse amor já findou E afinal para que amar Sempre a iludir Tu beijavas com afeição Sempre a fingir Uma falsa emoção Composição:  Othon  Russo
Apoteose Ao Samba,https://www.vagalume.com.br/djavan/apoteose-ao-samba.html,"Apoteose  Ao  Samba Djavan Ária Samba, Quando vens aos meus ouvidos, Embriagas meus sentidos, Trazes inspiração, A dolência que possuis na estrutura, É uma sedução, Vai alegrar o coração daquela criatura, Que com certeza está sofrendo de paixão. Samba, Soprado por muitos ares Atravessaste os sete mares, Com evolução, O teu ritmo que te torna ainda mais ardente, Quando vem da alma de nossa gente. Eu quero que sejas sempre meu amigo leal, Não me abandones não, Vejo em ti o lenitivo ideal, Em todos os momentos de aflição, És meu companheiro inseparável de tradição, Devo-lhe toda gratidão, Samba, eu confesso, És a minha alegria, Eu canto para esquecer a nostalgia. Composição:  Silas de  Oliveira,  Mano  Décio"
